ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,OPPORTUNITY NUMBER
3 I,3584701,1R43MH139287-01,RPGs - SBIR/STTR,11069680,"KILBORN, KARL",11665973,High bandwidth all-optical electrophysiology,,NONE,UNAVAILABLE,,,"$505,311 ",1,DENVER,COLORADO,,,,Domestic For-Profits,12/27/24,PA-23-230
AALTO UNIVERSITY,10031673,5R01NS104585-07,RPGs - Non SBIR/STTR,11004392,"HAMALAINEN, MATTI",7071811,Scalable and Sensor-Agnostic Software for Distributed Processing and Visualization of Multi-Site MEG/EEG Datasets,,NONE,UNAVAILABLE,"$448,605 ","$9,396 ","$458,001 ",,ESPOO,FINLAND,,,,Unavailable,12/18/24,PA-20-185
"ABBRATECH, INC.",10062716,2R44GM149009-02,RPGs - SBIR/STTR,11077173,"WEINER, MICHAEL P",78106439,A platform for T-cell receptor mimic antibody generation modeled using pHLA-A*11:01 KRAS G12D,,NONE,UNAVAILABLE,,,"$1,221,747 ",3,Branford,CONNECTICUT,,,,Domestic For-Profits,12/6/24,PA-23-230
"ABVACC, INC.",10072479,5R43AI181292-02,RPGs - SBIR/STTR,11043421,"KAILASAN, SHWETA",15962980,Development of a Marburgvirus subunit vaccineadjuvanted with a novel TLR7/TLR8 agonist,,NONE,UNAVAILABLE,,,"$297,099 ",8,ROCKVILLE,MARYLAND,,,,Domestic For-Profits,1/17/25,PA-22-176
"ACCESS SENSOR TECHNOLOGIES, LLC",10034448,1R43ES037202-01,RPGs - SBIR/STTR,11068612,"TRYNER, JESSICA",15409634,AirPen: A Wearable Sampler for Airborne Hazards in support of Disaster Response Research,,NONE,UNAVAILABLE,,,"$305,260 ",2,FORT COLLINS,COLORADO,,,,Domestic For-Profits,11/25/24,PA-23-230
"ADA FORSYTH INSTITUTE, INC.",2705601,5R01DE031274-04,RPGs - Non SBIR/STTR,11003347,"BOR, BATBILEG",10111583,Impact of Saccharibacteria and their bacterial hosts in Periodontal and Inflammatory Diseases,,NONE,UNAVAILABLE,"$228,858 ","$201,420 ","$430,278 ",7,CAMBRIDGE,MASSACHUSETTS,2142,,,Research Institutes,12/20/24,PA-20-185
"ADA FORSYTH INSTITUTE, INC.",2705601,5F31DE033227-02,Training - Individual,10939177,"ROTHENBERGER, CHRISTINA",16616873,Investigating the Function of Fimbriae-forming Lipoprotein in Porphyromonas gingivalis,,NONE,UNAVAILABLE,"$43,963 ",,"$43,963 ",7,CAMBRIDGE,MASSACHUSETTS,2142,,,Research Institutes,11/22/24,PA-21-052
"ADA FORSYTH INSTITUTE, INC.",2705601,1R25DE034582-01,Other Research-Related,11058786,"PUGACH, MEGAN KARDON",9643906,Forsyth Student Scholars Summer Internships in Oral Health Research,,NONE,UNAVAILABLE,"$125,000 ","$10,000 ","$135,000 ",7,CAMBRIDGE,MASSACHUSETTS,2142,,,Research Institutes,12/11/24,PAR-21-168
"ADA FORSYTH INSTITUTE, INC.",2705601,5K99DE032048-02,Other Research-Related,11030268,"YU, NING",11403722,From Symbiosis to Dysbiosis and Back: The Impact of Pro-Inflammation and Pro-Resolution,,NONE,UNAVAILABLE,"$152,500 ","$12,200 ","$164,700 ",7,CAMBRIDGE,MASSACHUSETTS,2142,,,Research Institutes,1/28/25,PAR-22-041
"ADA FORSYTH INSTITUTE, INC.",2705601,5R01DE030943-04,RPGs - Non SBIR/STTR,11015875,"HE, XUESONG",10282239,Host tRNA-derived small RNAs (tsRNAs) mediate interactions between host and oral microbes,,NONE,UNAVAILABLE,"$293,914 ","$178,303 ","$472,217 ",7,CAMBRIDGE,MASSACHUSETTS,2142,,,Research Institutes,1/16/25,PA-20-185
"ADAMAS NANOTECHNOLOGIES, INC.",10036066,3R43GM155656-01S1,RPGs - SBIR/STTR,11229653,"TORELLI, MARCO",14680583,Advancing Nanodiamond Particles for Quantum Sensing,,NONE,UNAVAILABLE,,,"$6,500 ",2,Raleigh,NORTH CAROLINA,,,,Domestic For-Profits,12/23/24,PA-20-272
ADELPHI UNIVERSITY,34201,1R15MH138992-01,RPGs - Non SBIR/STTR,11043716,"STANLEY, DAMIAN ALEXANDER",11126855,Identifying social computational phenotypes in mental health,PSYCHOLOGY,PSYCHOLOGY,ORGANIZED RESEARCH UNITS,"$300,000 ","$88,026 ","$388,026 ",4,GARDEN CITY,NEW YORK,11530,,,ORGANIZED RESEARCH UNITS,12/9/24,PAR-21-155
ADVANCED SCIENCE RESEARCH CENTER,10023818,2R35GM133769-06,RPGs - Non SBIR/STTR,11011728,"KEEDY, DANIEL A",11646816,Mapping and Exploiting the Internal Wiring of Structurally Dynamic Phosphatases,NONE,NONE,ORGANIZED RESEARCH UNITS,"$250,000 ","$145,000 ","$395,000 ",13,NEW YORK,NEW YORK,,,,ORGANIZED RESEARCH UNITS,1/24/25,PAR-22-180
ADVANCED SCIENCE RESEARCH CENTER,10023818,1R01AG085404-01A1,RPGs - Non SBIR/STTR,11054042,"AYATA, PINAR",11973595,Neurodegenerative reprograming of microglia in Alzheimers disease,NONE,NONE,UNIVERSITY-WIDE,"$282,164 ","$160,193 ","$442,357 ",13,NEW YORK,NEW YORK,,,,UNIVERSITY-WIDE,12/10/24,PAR-22-093
