ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINNING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R34CA284983-02,RPGs - Non SBIR/STTR,10922824,"MUNGO, CHEMTAI",15623032,Feasibility of artesunate to improve HPV and cervical precancer treatment outcomes among HIV positive women in LMICs,OBSTETRICS AND GYNECOLOGY,OBSTETRICS & GYNECOLOGY,SCHOOLS OF MEDICINE,"$210,384","$68,006","$278,390",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/20/24,PAR-22-173
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DK105114-07,RPGs - Non SBIR/STTR,10922786,"SANDLER, ROBERT S.",1863678,Risk Factors for Microscopic Colitis,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$386,507","$199,360","$585,867",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/13/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,1R01MH136852-01,RPGs - Non SBIR/STTR,10923249,"JIANG, GUOCHUN",15868336,Defining the HIV reservoir and latency mechanism in human brain myeloid cells,BIOCHEMISTRY AND BIOPHYSICS,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$548,613","$280,476","$829,089",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,5/6/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01ES033252-04,RPGs - Non SBIR/STTR,10918262,"BUCKLEY, JESSIE P",9613437,Endocrine disrupting chemical mixtures and bone health in adolescence,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$488,272","$65,765","$554,037",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,6/13/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U24NS124025-04,Other Research-Related,10918235,"RITOLA, KIMBERLY",77951439,BRAIN Viral Vector Services and Distribution Core,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$240,893","$128,700","$369,593",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/28/24,RFA-NS-19-006
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U2CDK133491-02,Other Research-Related,10918216,"FALK, RONALD J",1944489,U2C/TL1 NC KUH TRIO Program,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$380,280","$59,080","$439,360",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/4/24,PAR-20-220
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U01DK065201-22,RPGs - Non SBIR/STTR,10918224,"WATKINS, PAUL B",1883242,University of North Carolina Clinical Center for DILIN,NONE,NONE,SCHOOLS OF PHARMACY,"$252,403","$116,403","$368,806",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,8/15/24,RFA-DK-22-013
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K01MH129619-03,Other Research-Related,10918113,"VAN DEINSE, TONYA BLOOMER",15274585,Enhancing Mental Health Treatment Engagement among Probationers: Adapting an Organizational Linkage Implementation Strategy for Specialty Mental Health Probation,NONE,NONE,SCHOOLS OF SOCIAL WELFARE/WORK,"$144,033","$11,523","$155,556",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF SOCIAL WELFARE/WORK,8/19/24,PA-20-190
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01GM150252-02,RPGs - Non SBIR/STTR,10919782,"NGUYEN, JULIANE",11955071,Developing genetically encodable probes for multimodal tracking of exosomal RNA cargo,NONE,NONE,SCHOOLS OF PHARMACY,"$250,000","$138,750","$388,750",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PHARMACY,7/10/24,PAR-22-127
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM128855-07,RPGs - Non SBIR/STTR,10919756,"BROWN, NICHOLAS GENE",11167774,Spindle Assembly Checkpoint Silencing,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$295,000","$159,118","$454,118",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/16/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HD055741-18,RPGs - Non SBIR/STTR,10919227,"PIVEN, JOSEPH",1867321,A Longitudinal Brain and Behavior Study of Autism From Infancy Through Adolescence,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$1,980,579","$315,585","$2,296,164",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/10/24,RFA-HD-22-007
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K23MH135163-02,Other Research-Related,10920474,"BALDELLI, ANDREA PELLETIER",11414662,Does social motivation in adolescence differentially predict the impact of childhood threat exposure on developing suicidal thoughts and behaviors,PSYCHOLOGY AND NEUROSCIENCE,PSYCHOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$170,790","$13,663","$184,453",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,8/28/24,PA-20-205
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R35GM118096-09,RPGs - Non SBIR/STTR,10911097,"PEIFER, MARK A.",1883195,Regulating cell fate and shaping the body plan during morphogenesis and their alteration during oncogenesis,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$387,102","$208,067","$595,169",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,8/30/24,PAR-19-367
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5P50CA257911-03,Research Centers,10911125,"YEH, JEN JEN",9084260,Selective Targeting of Pancreatic Cancer SPORE,SURGERY,SURGERY,SCHOOLS OF MEDICINE,"$1,416,341","$662,757","$2,079,098",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,9/23/24,PAR-20-305
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL154429-05,RPGs - Non SBIR/STTR,10911126,"OLDENBURG, AMY L",9689751,Predicting the Need for Surgery in Pediatric Subglottic Stenosis using Airway Elastography Derived from Endoscopic OCT and Intraluminal Pressure Measurement,NONE,NONE,SCHOOLS OF MEDICINE,"$536,872","$201,908","$738,780",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/28/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5T32GM149370-02,Training - Institutional,10911012,"WEISSMAN, BERNARD E.",1867176,Enhancement training for the next generation of translational Ph.D. scientists,PATHOLOGY AND LAB MEDICINE,PATHOLOGY,SCHOOLS OF MEDICINE,"$192,360","$10,648","$203,008",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/3/24,PAR-20-213
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K99GM149931-02,Other Research-Related,10909940,"KOCAK, DANIEL DEWRAN",12521279,DRUG DISCOVERY BY DIRECTED EVOLUTION IN MAMMALIAN CELLS,PHARMACOLOGY,PHARMACOLOGY,SCHOOLS OF MEDICINE,"$90,890","$7,271","$98,161",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/7/24,PA-20-188
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AI157758-05,RPGs - Non SBIR/STTR,10909982,"COLE, STEPHEN R",8616018,Improved analysis of experiments and observational studies in HIV,EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$472,450","$246,559","$719,009",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,8/9/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31HL163885-03,Training - Individual,10912495,"SERAFIN, DONALD STEPHEN",15962964,Elucidating the GPCR protein networks that drive lymphatic growth,CELL BIOLOGY AND PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$43,481",,"$43,481",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/9/24,PA-21-051
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R21AI177818-02,RPGs - Non SBIR/STTR,10912018,"COTTER, PEGGY A",1930764,Identifying the Bordetella PlrSR regulon,MICROBIOLOGY AND IMMUNOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$135,853","$55,487","$191,340",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/10/24,PA-20-195
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01HL111527-11,RPGs - Non SBIR/STTR,10912010,"LAEDERACH, ALAIN T",8619611,Non-coding RNA structure change in Chronic Obstructive Pulmonary Disease,BIOLOGY,BIOLOGY,SCHOOLS OF ARTS AND SCIENCES,"$471,866","$224,654","$696,520",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF ARTS AND SCIENCES,8/27/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5U01DK137262-02,RPGs - Non SBIR/STTR,10911278,"DAVE, GAURAV J",11484000,CommunityRx – Chronic Kidney Disease (CRx-CKD)” An EMR-integrated community resources referral intervention to address structural racism and kidney health disparities in rural North Carolina,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$546,040","$148,959","$694,999",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,6/26/24,RFA-DK-22-014
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01AI110700-10,RPGs - Non SBIR/STTR,10911242,"BARIC, RALPH S",1885536,"Cell entry, cross-species transmission and pathogenesis of novel coronavirus from",EPIDEMIOLOGY,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$616,619","$131,462","$748,081",4,CHAPEL HILL,NORTH CAROLINA,27599,,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF PUBLIC HEALTH,8/9/24,PA-19-056
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5K08CA259342-02,Other Research-Related,10911335,"SOMASUNDARAM, ASHWIN",14582130,The role of IL6-induced LAG3 as a resistance mechanism to PD1 blockade in NSCLC patients,MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$255,149","$20,412","$275,561",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/16/24,PA-20-203
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01ES031173-05,RPGs - Non SBIR/STTR,10911874,"JASPERS, ILONA",1934312,PM exposure and changes in respiratory host defense responses,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$150,000","$83,250","$233,250",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/8/24,RFA-CA-19-009
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5R01DK128447-04,RPGs - Non SBIR/STTR,10911916,"WU, ZHANHONG",12400638,The development of novel PET/NIRF agents for hyperparathyroidism management,RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$305,415","$169,505","$474,920",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,8/27/24,PA-20-185
UNIV OF NORTH CAROLINA CHAPEL HILL,578206,5F31HL165935-03,Training - Individual,10904771,"BALLARD, ABIGAIL RENE",16561783,The Role of the small GTPase Rap1 in Platelet-Coagulation Interplay,BIOCHEMISTRY AND BIOPHYSICS,BIOCHEMISTRY,SCHOOLS OF MEDICINE,"$40,518",,"$40,518",4,CHAPEL HILL,NORTH CAROLINA,27599,Y,UNIVERSITY OF NORTH CAROLINA SCH OF MED,SCHOOLS OF MEDICINE,7/17/24,PA-21-051
